black won,11,1. d1-d3 f8-i8 2. j6-j9 h6-h9 3. f10-i10 e7-b7 4. a5-c5 f7-c7 5. a8-b8xb7 f6-f10 6. d11-d10 f10-e10 7. d10-c10 h9-a9 8. e11-c11 e10-e9 9. c10-c9 e9-e10 10. b8-b10 f5-f10 11. j9-f9xf10 e10-d10 12. b6-b9 e6-e10 13. f11-d11 e5-e2 14. d3-d2xe2 d6-b6 15. h1-h3 d10-d3 16. a4-a3 b6-b2 17. c5-c2 d3-b3 18. a6-a4 b2-b1 19. c2-b2 b1-c1 20. h3-c3 c1-b1xb2 21. d2-b2 b3-b6 22. e1-c1xb1xb1 b6-a6 23. g11-f11 i8-a8xa7 24. k6-h6xg6 g5-a5 25. f9-e9 a6-b6 26. f11-e11xe10 g7-g6 27. d11-d6 a5-a6 28. c9-c8 b6-b7 29. e9-e7 f4-f9 30. e11-e9 b7-b5 31. g1-g5 b5-d5 32. c3-c6xc7 resigned
white won,12,1. h1-h3 f8-c8 2. a8-b8 e7-e10 3. g11-g9 e6-e9 4. d11-d8xc8 f7-b7 5. d8-d9 e5-b5xb6 6. a4-b4 d6-d3 7. b4-b2 f6-c6 8. d9-c9 c6-c1 9. b2-b1 c1-c2 10. b1-b2 d3-a3 11. b2-a2 c2-c1 12. resigned
black won,13,1. h1-h3 d6-d9 2. a5-c5 h6-h9 3. j6-j9 e7-c7 4. f10-c10 g6-j6 5. k4-i4 f6-i6 6. k8-i8 j6-j3 7. f2-j2 j3-k3 8. k7-k9 g5-g3 9. i4-i3 g3-g2 10. g1-i1 g7-i7 11. i8-i10 g2-b2 12. d1-b1 e6-c6 13. b6-b3xb2 f4-c4xc5 14. e1-c1 e5-e2 15. b1-b2 d9-b9 16. a8-a9 b9-b10 17. d11-b11 i6-d6 18. a9-b9xb10 resigned
black won,14,1. d1-d3 h6-h3 2. k8-i8 f4-c4 3. e1-e3 e7-e10 4. d11-d10xe10 e6-e10 5. a8-c8 g7-g10xf10 6. h11-h10 f8-f10 7. j6-j9 g6-g9 8. k7-j7 f6-i6 9. f2-i2 h3-j3 10. h1-h2 f7-f9 11. a7-a9 i6-i7 12. j9-h9 i7-b7 13. d10-b10 e5-b5xb6 14. a4-b4 c4-c2 15. f1-c1 c2-b2 16. d3-b3 b7-c7 17. c1-c5xb5 f9-c9xc8 18. e11-c11 d6-d1 19. k4-f4xf5 c7-c6 20. k5-k3 c6-d6 21. b4-d4 d6-d5 22. a5-a2 d1-d3xd4 23. c5-c2xb2 j3-f3xe3 24. h2-f2xf3 d3-d1 25. c2-c1 d5-d2 26. a2-b2 e10-e1 27. f4-f9xf10xg9 g10-g8 28. g11-g9 g8-e8 29. h10-d10 c9-c7 30. f9-e9 g5-a5 31. b3-a3 c7-a7xa6 32. j7-e7xe8 a5-j5 33. e7-j7 resigned
white won,15,1. d1-d3 f8-c8 2. h11-h9 h6-h3 3. k4-i4 g5-j5 4. k7-j7 j5-j2 5. f2-h2 g6-g2 6. f1-f2xg2 f6-i6 7. k8-i8 i6-i5 8. j6-j3 h3-i3xi4 9. j7-j4 i3-i1 10. d3-i3 i5-i4 11. h2-i2 e5-e2 12. g1-g2 f4-b4 13. f2-f4xf5 e6-e4 14. k5-k2xj2 i4-g4xf4 15. i3-e3xe2 d6-d2 16. e3-c3 e4-c4 17. a5-c5xc4 g4-c4 18. e1-c1 f7-f1 19. j3-j1xi1xi1 d2-c2xc3 20. a4-a3 c4-c3 21. j1-j3 c3-b3 22. c1-b1 f1-c1xb1 23. resigned
black won,16,1. d1-d3 f4-c4 2. e1-e3 d6-d9 3. b6-b9 g7-j7 4. k8-j8xj7 f7-j7 5. h11-h9 g5-j5xj6 6. k4-i4 f5-i5 7. k6-i6xi5 j7-j6xi6 8. h1-h3 f6-f4 9. g1-j1 f4-h4 10. j1-j4 g6-g1 11. h3-h1xg1 h4-h2 12. j4-j2 h2-i2 13. h1-i1 i2-i3 14. k5-k3 e5-i5xi4 15. f10-i10 i5-b5 16. a4-b4 i3-i9 17. k7-k9 d9-g9xh9 18. j8-j10 c4-c10 19. a6-b6xb5 e6-e5 20. a5-c5 e7-k7 21. i1-i6 j5-k5 22. b6-g6xh6 e5-h5 23. i6-i3 h5-h6xg6 24. e3-h3 f8-k8 25. h3-h5 g9-g7 26. i3-i5 i9-i6 27. j2-j5 k7-j7 28. a8-h8 g7-h7 29. g11-g7 h7-i7 30. e11-e6 j7-j8 31. i10-i8 j6-j7 32. h8-h7xh6 c10-h10 33. b9-h9 h10-h11 34. h5-h6 h11-i11 35. h9-i9 resigned
white won,17,1. d1-d3 f8-c8 2. h11-h9 h6-h3 3. k4-i4 g5-j5 4. k7-i7 j5-j2 5. f2-h2 g6-g2 6. f1-f2xg2 f6-i6 7. k5-i5 c8-i8xi7 8. f10-i10 i6-i7 9. k8-j8 i7-k7 10. j8-k8 k7-j7 11. k8-j8 j2-j5xj6 12. i4-h4xh3 j7-k7 13. j8-k8 j5-k5xk6 14. h2-j2 k5-j5 15. d3-k3 f5-h5xi5 16. g11-j11 g7-g3 17. h4-i4 h5-h4 18. i4-i2 j5-j9 19. k8-k9 h4-k4 20. j2-j5 k4-k5 21. i2-i5 f4-k4 22. f11-f8xf7 e6-j6 23. a4-j4 e7-j7 24. k9-k8 j9-k9xk8 25. a8-c8 i8-j8
black won,18,1. d1-d3 f4-c4 2. e1-e3 h6-h9 3. k5-i5 e7-e10 4. d11-d10xe10 e6-e10 5. a8-c8 g7-g10xf10 6. h11-h10 f8-f10 7. i5-i9 g6-g9 8. b6-b9 f6-i6 9. f2-i2 g5-g3 10. j6-j3 d6-d4 11. f1-c1 i6-b6 12. a4-b4 b6-b8 13. a5-d5xd4 c4-c5xd5 14. k8-h8xh9 f7-d7 15. c8-c9 f5-f2 16. d3-d2 c5-a5 17. e3-a3 b8-c8 18. d2-b2 c8-a8 19. b9-a9 e10-e8 20. b4-a4xa5 e5-b5 21. d10-b10 a8-c8 22. c9-c10 b5-j5 23. h8-j8 f10-f4 24. f11-f10xg10 j5-a5 25. h10-h9 g9-g7 26. g11-g9 g3-c3 27. h9-h8 f2-d2 28. i9-i5 d2-d6 29. k7-h7 g7-e7 30. k6-g6 c3-c6 31. k4-g4 f4-d4 32. i5-g5 d7-b7 33. b10-b8 b7-b6 34. a9-c9 c8-d8 35. c10-d10 resigned
white won,19,1. d1-d3 d6-d9 2. h11-h9 f4-i4 3. k8-i8 e5-e2 4. g1-g2 e6-e3 5. a4-c4 e2-c2 6. d3-c3 f6-c6 7. f10-c10 f5-b5 8. e1-c1xc2 e7-b7xb6 9. a8-a9 b7-b10 10. d11-d10 b5-b2 11. a6-b6 f7-b7 12. a5-b5 d9-d3 13. c3-b3 c6-c5 14. c1-b1xb2 d3-c3xc4 15. f2-c2 i4-a4 16. b3-a3 a4-a5xb5 17. c10-c7xb7 c5-b5 18. b1-b3 b10-b7xb6 19. c7-c10 f8-a8 20. d10-d3xc3 g6-a6xa7xa7 21. e11-b11 g5-c5 22. f1-f3xe3 g7-c7 23. g11-g6 a6-c6 24. a3-a4 b5-b6 25. k5-d5 b6-a6 26. b3-b5xc5 c6-b6
white won,20,1. h1-h3 d6-d3 2. a8-c8 f8-i8 3. h11-h9 g5-g2 4. e1-e2 g7-g10 5. e11-e9 g10-j10 6. f10-i10 f7-j7 7. k8-k10xj10 f5-j5xj6 8. g11-g10 i8-i3 9. h3-h2xg2 j5-j2 10. i10-i7xj7 f6-f5 11. k5-i5 f4-i4 12. i5-j5 i3-i1 13. g1-g3 f5-h5 14. k4-j4 h5-h3 15. k6-k3 h3-j3 16. resigned
